,Bid,Ask,Open Int,time to maturity (years),log_moneyness,strike,Mid
395,0.0,0.05,80,0.0027397260273972603,-0.17839335551559515,2285,0.025
399,0.0,0.05,269,0.0027397260273972603,-0.17620756229561493,2290,0.025
403,0.0,0.05,72,0.0027397260273972603,-0.17402653634925477,2295,0.025
407,0.0,0.05,2665,0.0027397260273972603,-0.17185025692665928,2300,0.025
411,0.0,0.05,82,0.0027397260273972603,-0.16967870341315133,2305,0.025
415,0.0,0.05,332,0.0027397260273972603,-0.16751185532806104,2310,0.025
419,0.0,0.05,73,0.0027397260273972603,-0.16534969232356586,2315,0.025
423,0.0,0.05,347,0.0027397260273972603,-0.1631921941835447,2320,0.025
427,0.0,0.05,435,0.0027397260273972603,-0.16103934082244356,2325,0.025
431,0.0,0.05,511,0.0027397260273972603,-0.15889111228415403,2330,0.025
435,0.0,0.05,301,0.0027397260273972603,-0.1567474887409026,2335,0.025
439,0.0,0.05,271,0.0027397260273972603,-0.15460845049215322,2340,0.025
443,0.0,0.1,232,0.0027397260273972603,-0.1524739779635205,2345,0.05
447,0.0,0.1,4024,0.0027397260273972603,-0.15034405170569562,2350,0.05
451,0.0,0.1,300,0.0027397260273972603,-0.1482186523933822,2355,0.05
455,0.0,0.1,1074,0.0027397260273972603,-0.14609776082424458,2360,0.05
459,0.0,0.1,366,0.0027397260273972603,-0.1439813579178669,2365,0.05
463,0.0,0.1,2113,0.0027397260273972603,-0.1418694247147234,2370,0.05
467,0.0,0.1,6006,0.0027397260273972603,-0.13976194237515874,2375,0.05
471,0.0,0.1,398,0.0027397260273972603,-0.13765889217837995,2380,0.05
475,0.0,0.1,786,0.0027397260273972603,-0.13556025552145864,2385,0.05
479,0.0,0.1,1502,0.0027397260273972603,-0.13346601391834392,2390,0.05
483,0.0,0.1,1333,0.0027397260273972603,-0.1313761489988847,2395,0.05
487,0.0,0.1,6091,0.0027397260273972603,-0.12929064250786335,2400,0.05
491,0.0,0.1,278,0.0027397260273972603,-0.1272094763040387,2405,0.05
495,0.0,0.1,1664,0.0027397260273972603,-0.1251326323591996,2410,0.05
499,0.0,0.1,2708,0.0027397260273972603,-0.12306009275722725,2415,0.05
503,0.0,0.1,714,0.0027397260273972603,-0.12099183969316826,2420,0.05
507,0.0,0.1,1980,0.0027397260273972603,-0.11892785547231668,2425,0.05
511,0.0,0.1,1803,0.0027397260273972603,-0.11686812250930614,2430,0.05
515,0.0,0.1,335,0.0027397260273972603,-0.11481262332721015,2435,0.05
519,0.0,0.1,456,0.0027397260273972603,-0.11276134055665267,2440,0.05
523,0.0,0.1,653,0.0027397260273972603,-0.11071425693492785,2445,0.05
527,0.0,0.1,3433,0.0027397260273972603,-0.10867135530512761,2450,0.05
531,0.0,0.1,863,0.0027397260273972603,-0.10663261861527937,2455,0.05
535,0.0,0.1,399,0.0027397260273972603,-0.10459802991749173,2460,0.05
539,0.0,0.1,269,0.0027397260273972603,-0.10256757236710977,2465,0.05
543,0.0,0.1,537,0.0027397260273972603,-0.1005412292218774,2470,0.05
547,0.0,0.15,3740,0.0027397260273972603,-0.09851898384110964,2475,0.075
551,0.05,0.1,678,0.0027397260273972603,-0.09650081968487237,2480,0.07500000000000001
555,0.05,0.15,599,0.0027397260273972603,-0.09448672031317115,2485,0.1
559,0.0,0.15,5957,0.0027397260273972603,-0.09247666938514698,2490,0.075
563,0.0,0.15,716,0.0027397260273972603,-0.09047065065828128,2495,0.075
567,0.05,0.1,5100,0.0027397260273972603,-0.0884686479876081,2500,0.07500000000000001
571,0.05,0.15,1090,0.0027397260273972603,-0.08647064532493508,2505,0.1
575,0.05,0.15,453,0.0027397260273972603,-0.08447662671807071,2510,0.1
579,0.05,0.15,1601,0.0027397260273972603,-0.08248657631006073,2515,0.1
583,0.1,0.15,824,0.0027397260273972603,-0.08050047833843124,2520,0.125
587,0.05,0.15,3090,0.0027397260273972603,-0.07851831713444006,2525,0.1
591,0.05,0.2,715,0.0027397260273972603,-0.07654007712233438,2530,0.125
595,0.1,0.2,944,0.0027397260273972603,-0.07456574281861678,2535,0.15000000000000002
599,0.1,0.2,1695,0.0027397260273972603,-0.07259529883131796,2540,0.15000000000000002
603,0.1,0.2,664,0.0027397260273972603,-0.07062872985927714,2545,0.15000000000000002
607,0.1,0.15,6760,0.0027397260273972603,-0.06866602069142846,2550,0.125
611,0.1,0.25,552,0.0027397260273972603,-0.0667071562060955,2555,0.175
615,0.1,0.2,4752,0.0027397260273972603,-0.06475212137029207,2560,0.15000000000000002
619,0.1,0.25,544,0.0027397260273972603,-0.06280090123903036,2565,0.175
623,0.15,0.25,853,0.0027397260273972603,-0.06085348095463481,2570,0.2
627,0.15,0.3,3488,0.0027397260273972603,-0.0589098457460638,2575,0.22499999999999998
631,0.2,0.25,852,0.0027397260273972603,-0.05696998092823712,2580,0.225
635,0.15,0.3,843,0.0027397260273972603,-0.05503387190137076,2585,0.22499999999999998
639,0.2,0.35,3069,0.0027397260273972603,-0.05310150415031686,2590,0.275
643,0.2,0.35,813,0.0027397260273972603,-0.05117286324391131,2595,0.275
647,0.25,0.35,8366,0.0027397260273972603,-0.04924793483432682,2600,0.3
651,0.25,0.4,523,0.0027397260273972603,-0.047326704656432975,2605,0.325
655,0.25,0.4,6456,0.0027397260273972603,-0.0454091585271612,2610,0.325
659,0.3,0.45,845,0.0027397260273972603,-0.04349528234487705,2615,0.375
663,0.3,0.45,2465,0.0027397260273972603,-0.0415850620887577,2620,0.375
667,0.35,0.5,3794,0.0027397260273972603,-0.039678483818176145,2625,0.425
671,0.35,0.55,2008,0.0027397260273972603,-0.03777553367209006,2630,0.45
675,0.4,0.55,849,0.0027397260273972603,-0.035876197868437626,2635,0.47500000000000003
679,0.45,0.6,2825,0.0027397260273972603,-0.03398046270353839,2640,0.525
683,0.5,0.65,1089,0.0027397260273972603,-0.03208831455150051,2645,0.575
687,0.55,0.7,6801,0.0027397260273972603,-0.030199739863632405,2650,0.625
691,0.6,0.75,732,0.0027397260273972603,-0.028314725167861116,2655,0.675
695,0.65,0.85,923,0.0027397260273972603,-0.026433257068155483,2660,0.75
699,0.75,0.9,1321,0.0027397260273972603,-0.024555322243955353,2665,0.825
703,0.8,1.0,801,0.0027397260273972603,-0.022680907449605086,2670,0.9
707,0.85,1.1,4253,0.0027397260273972603,-0.020809999513793403,2675,0.9750000000000001
711,1.05,1.25,922,0.0027397260273972603,-0.01894258533899788,2680,1.15
715,1.2,1.45,976,0.0027397260273972603,-0.01707865190093521,2685,1.325
719,1.5,1.65,1930,0.0027397260273972603,-0.015218186248015509,2690,1.575
723,1.7,1.95,560,0.0027397260273972603,-0.0133611755008028,2695,1.825
727,2.1,2.35,3702,0.0027397260273972603,-0.011507606851479802,2700,2.225
731,2.55,2.85,747,0.0027397260273972603,-0.009657467563318376,2705,2.7
735,3.1,3.6,1009,0.0027397260273972603,-0.007810744970153717,2710,3.35
739,4.0,4.5,960,0.0027397260273972603,-0.005967426475864516,2715,4.25
743,5.1,5.7,3405,0.0027397260273972603,-0.004127499553857244,2720,5.4
747,6.7,7.3,2046,0.0027397260273972603,-0.0022909517465558244,2725,7.0
751,8.7,9.6,950,0.0027397260273972603,-0.00045777066489488533,2730,9.149999999999999
755,11.0,12.2,1062,0.0027397260273972603,0.0013720560121813611,2735,11.6
759,13.9,15.3,1383,0.0027397260273972603,0.003198540538215551,2740,14.600000000000001
763,17.3,18.8,2132,0.0027397260273972603,0.005021695099730731,2745,18.05
767,21.1,22.7,2335,0.0027397260273972603,0.006841531816716784,2750,21.9
771,25.2,26.9,939,0.0027397260273972603,0.008658062743114531,2755,26.049999999999997
775,29.0,32.1,1696,0.0027397260273972603,0.010471299867295437,2760,30.55
779,33.5,36.8,556,0.0027397260273972603,0.012281255112534788,2765,35.15
783,38.1,41.5,2834,0.0027397260273972603,0.01408794033748388,2770,39.8
787,43.0,46.4,1598,0.0027397260273972603,0.01589136733663466,2775,44.7
791,47.8,51.3,701,0.0027397260273972603,0.01769154784078239,2780,49.55
795,52.7,56.2,1302,0.0027397260273972603,0.019488493517484117,2785,54.45
799,56.6,62.9,463,0.0027397260273972603,0.021282215971511115,2790,59.75
803,60.8,67.6,1492,0.0027397260273972603,0.023072726745299203,2795,64.19999999999999
807,65.3,72.1,2679,0.0027397260273972603,0.02486003731939504,2800,68.69999999999999
811,70.3,77.8,1233,0.0027397260273972603,0.026644159112896304,2805,74.05
815,75.4,82.1,1602,0.0027397260273972603,0.028425103483891143,2810,78.75
819,80.7,87.5,584,0.0027397260273972603,0.03020288172989053,2815,84.1
823,85.3,92.3,1675,0.0027397260273972603,0.03197750508825891,2820,88.8
827,90.5,97.0,899,0.0027397260273972603,0.033748984736641036,2825,93.75
831,95.8,102.7,1388,0.0027397260273972603,0.03551733179338311,2830,99.25
835,100.6,107.7,353,0.0027397260273972603,0.03728255731795211,2835,104.15
839,105.5,112.4,1174,0.0027397260273972603,0.03904467231135147,2840,108.95
843,110.5,117.7,302,0.0027397260273972603,0.04080368771653112,2845,114.1
847,115.5,122.9,1197,0.0027397260273972603,0.0425596144187959,2850,119.2
851,120.5,130.0,148,0.0027397260273972603,0.04431246324621036,2855,125.25
855,125.5,135.0,321,0.0027397260273972603,0.04606224496999791,2860,130.25
859,128.8,140.0,271,0.0027397260273972603,0.047808970304939656,2865,134.4
863,135.5,144.3,264,0.0027397260273972603,0.049552649909766586,2870,139.9
869,145.5,154.9,200,0.0027397260273972603,0.05303091428609136,2880,150.2
873,150.5,159.9,72,0.0027397260273972603,0.054765520098299755,2885,155.2
877,155.5,164.3,56,0.0027397260273972603,0.05649712226257753,2890,159.9
881,160.5,169.9,199,0.0027397260273972603,0.058225731163195384,2895,165.2
885,166.2,174.2,84,0.0027397260273972603,0.05995135713066503,2900,170.2
889,170.4,179.9,37,0.0027397260273972603,0.061674010442111314,2905,175.15
893,175.4,184.9,23,0.0027397260273972603,0.06339370132163799,2910,180.15
897,180.4,189.8,6,0.0027397260273972603,0.06511043994069242,2915,185.10000000000002
901,183.9,194.8,3,0.0027397260273972603,0.06682423641842718,2920,189.35000000000002
905,190.4,199.9,1,0.0027397260273972603,0.06853510082205669,2925,195.15
909,195.4,204.8,0,0.0027397260273972603,0.07024304316721268,2930,200.10000000000002
913,200.4,209.3,0,0.0027397260273972603,0.0719480734182966,2935,204.85000000000002
917,205.4,214.9,1,0.0027397260273972603,0.07365020148882694,2940,210.15
921,210.4,219.9,2,0.0027397260273972603,0.07534943724178679,2945,215.15
925,215.6,224.9,2,0.0027397260273972603,0.0770457904899653,2950,220.25
929,220.6,229.9,0,0.0027397260273972603,0.07873927099629824,2955,225.25
933,225.5,234.9,0,0.0027397260273972603,0.08042988847420579,2960,230.2
937,230.6,239.9,0,0.0027397260273972603,0.08211765258792564,2965,235.25
941,235.6,244.9,0,0.0027397260273972603,0.08380257295284499,2970,240.25
945,240.6,249.7,3,0.0027397260273972603,0.0854846591358299,2975,245.14999999999998
949,245.6,257.3,0,0.0027397260273972603,0.08716392065554977,2980,251.45
953,250.4,262.5,0,0.0027397260273972603,0.08884036698280218,2985,256.45
957,255.4,267.5,0,0.0027397260273972603,0.0905140075408319,2990,261.45
961,260.4,272.5,0,0.0027397260273972603,0.09218485170564938,2995,266.45
965,265.4,276.8,90,0.0027397260273972603,0.09385290880634647,3000,271.1
969,270.4,282.1,0,0.0027397260273972603,0.09551818812540776,3005,276.25
973,275.4,287.2,0,0.0027397260273972603,0.09718069889902109,3010,281.29999999999995
977,280.4,292.3,0,0.0027397260273972603,0.09884045031738557,3015,286.35
981,285.4,297.3,0,0.0027397260273972603,0.10049745152501495,3020,291.35
985,290.4,302.2,94,0.0027397260273972603,0.10215171162104154,3025,296.29999999999995
989,295.4,307.3,0,0.0027397260273972603,0.1038032396595146,3030,301.35
993,300.4,312.3,0,0.0027397260273972603,0.10545204464969829,3035,306.35
997,305.4,317.2,0,0.0027397260273972603,0.10709813555636712,3040,311.29999999999995
1001,310.4,322.2,0,0.0027397260273972603,0.1087415213000972,3045,316.29999999999995
1005,315.4,327.1,187,0.0027397260273972603,0.11038221075755698,3050,321.25
1009,320.4,332.5,0,0.0027397260273972603,0.11202021276179545,3055,326.45
1013,325.4,337.2,0,0.0027397260273972603,0.11365553610252609,3060,331.29999999999995
1017,330.4,342.2,0,0.0027397260273972603,0.11528818952641148,3065,336.29999999999995
1021,331.7,347.1,0,0.0027397260273972603,0.11691818173734261,3070,339.4
1025,340.4,352.3,191,0.0027397260273972603,0.1185455213967179,3075,346.35
1029,345.4,356.8,0,0.0027397260273972603,0.12017021712371988,3080,351.1
1033,355.4,367.4,0,0.0027397260273972603,0.12341171104789082,3090,361.4
1037,365.4,377.5,92,0.0027397260273972603,0.12664273162933723,3100,371.45
1041,375.4,387.3,0,0.0027397260273972603,0.1298633463293796,3110,381.35
1045,385.4,397.5,0,0.0027397260273972603,0.13307362195962777,3120,391.45
1049,390.4,402.5,98,0.0027397260273972603,0.13467490332660167,3125,396.45
1053,415.4,427.4,0,0.0027397260273972603,0.14264307297577852,3150,421.4
1057,465.4,477.3,0,0.0027397260273972603,0.15839142994391764,3200,471.35
1063,565.4,577.1,0,0.0027397260273972603,0.1891630886106714,3300,571.25
1067,665.4,677.0,0,0.0027397260273972603,0.21901605176035246,3400,671.2
1071,765.4,777.0,0,0.0027397260273972603,0.24800358863360483,3500,771.2
1073,0.0,0.05,448,0.0136986301369863,-0.47413112879959285,1700,0.025
1075,0.0,0.05,1234,0.0136986301369863,-0.4169727149596442,1800,0.025
1077,0.0,0.05,4644,0.0136986301369863,-0.38957374077152973,1850,0.025
1079,0.0,0.05,2573,0.0136986301369863,-0.3629054936893685,1900,0.025
1081,0.0,0.05,518,0.0136986301369863,-0.3369300072861077,1950,0.025
1083,0.0,0.05,60,0.0136986301369863,-0.31161219930181794,2000,0.025
1085,0.0,0.05,314,0.0136986301369863,-0.2869195867114464,2050,0.025
1087,0.0,0.05,3692,0.0136986301369863,-0.26282203513238594,2100,0.025
1089,0.0,0.05,354,0.0136986301369863,-0.23929153772219178,2150,0.025
1091,0.05,0.1,2887,0.0136986301369863,-0.21630201949749311,2200,0.07500000000000001
1093,0.05,0.1,200,0.0136986301369863,-0.21176686433210176,2210,0.07500000000000001
1095,0.0,0.1,534,0.0136986301369863,-0.2072521839775752,2220,0.05
1097,0.0,0.1,78,0.0136986301369863,-0.20500246424355964,2225,0.05
1099,0.0,0.1,0,0.0136986301369863,-0.20275779438973582,2230,0.05
1101,0.0,0.1,0,0.0136986301369863,-0.1982835139948148,2240,0.05
1103,0.0,0.1,1004,0.0136986301369863,-0.19382916364543445,2250,0.05
1105,0.0,0.15,9,0.0136986301369863,-0.18939456657756878,2260,0.075
1107,0.0,0.15,58,0.0136986301369863,-0.1849795483684519,2270,0.075
1109,0.05,0.15,27,0.0136986301369863,-0.1827793274588495,2275,0.1
1111,0.0,0.15,0,0.0136986301369863,-0.18058393689541388,2280,0.075
1113,0.05,0.15,24,0.0136986301369863,-0.17620756229561493,2290,0.1
1115,0.05,0.15,349,0.0136986301369863,-0.17185025692665928,2300,0.1
1117,0.05,0.15,4589,0.0136986301369863,-0.16751185532806104,2310,0.1
1119,0.05,0.15,65,0.0136986301369863,-0.1631921941835447,2320,0.1
1121,0.05,0.15,270,0.0136986301369863,-0.16103934082244356,2325,0.1
1123,0.05,0.2,3,0.0136986301369863,-0.15889111228415403,2330,0.125
1125,0.05,0.2,67,0.0136986301369863,-0.1567474887409026,2335,0.125
1127,0.05,0.2,806,0.0136986301369863,-0.15460845049215322,2340,0.125
1129,0.05,0.2,0,0.0136986301369863,-0.1524739779635205,2345,0.125
1131,0.1,0.2,2426,0.0136986301369863,-0.15034405170569562,2350,0.15000000000000002
1133,0.05,0.2,1,0.0136986301369863,-0.1482186523933822,2355,0.125
1135,0.05,0.2,141,0.0136986301369863,-0.14609776082424458,2360,0.125
1137,0.1,0.2,7,0.0136986301369863,-0.1439813579178669,2365,0.15000000000000002
1139,0.1,0.25,44,0.0136986301369863,-0.1418694247147234,2370,0.175
1141,0.1,0.25,6767,0.0136986301369863,-0.13976194237515874,2375,0.175
1143,0.1,0.25,41,0.0136986301369863,-0.13765889217837995,2380,0.175
1145,0.1,0.25,0,0.0136986301369863,-0.13556025552145864,2385,0.175
1147,0.1,0.25,16,0.0136986301369863,-0.13346601391834392,2390,0.175
1149,0.1,0.25,12,0.0136986301369863,-0.1313761489988847,2395,0.175
1151,0.1,0.25,1650,0.0136986301369863,-0.12929064250786335,2400,0.175
1153,0.1,0.3,4,0.0136986301369863,-0.1272094763040387,2405,0.2
1155,0.15,0.3,4691,0.0136986301369863,-0.1251326323591996,2410,0.22499999999999998
1157,0.15,0.3,5,0.0136986301369863,-0.12306009275722725,2415,0.22499999999999998
1159,0.15,0.3,20,0.0136986301369863,-0.12099183969316826,2420,0.22499999999999998
1161,0.15,0.3,695,0.0136986301369863,-0.11892785547231668,2425,0.22499999999999998
1163,0.15,0.35,44,0.0136986301369863,-0.11686812250930614,2430,0.25
1165,0.2,0.35,9,0.0136986301369863,-0.11481262332721015,2435,0.275
1167,0.2,0.35,831,0.0136986301369863,-0.11276134055665267,2440,0.275
1169,0.2,0.35,65,0.0136986301369863,-0.11071425693492785,2445,0.275
1171,0.2,0.3,5609,0.0136986301369863,-0.10867135530512761,2450,0.25
1173,0.25,0.4,32,0.0136986301369863,-0.10663261861527937,2455,0.325
1175,0.25,0.4,34,0.0136986301369863,-0.10459802991749173,2460,0.325
1177,0.25,0.4,85,0.0136986301369863,-0.10256757236710977,2465,0.325
1179,0.25,0.4,127,0.0136986301369863,-0.1005412292218774,2470,0.325
1181,0.25,0.45,470,0.0136986301369863,-0.09851898384110964,2475,0.35
1183,0.3,0.45,72,0.0136986301369863,-0.09650081968487237,2480,0.375
1185,0.3,0.45,319,0.0136986301369863,-0.09448672031317115,2485,0.375
1187,0.3,0.45,153,0.0136986301369863,-0.09247666938514698,2490,0.375
1189,0.35,0.5,115,0.0136986301369863,-0.09047065065828128,2495,0.425
1191,0.35,0.5,1239,0.0136986301369863,-0.0884686479876081,2500,0.425
1193,0.35,0.5,41,0.0136986301369863,-0.08647064532493508,2505,0.425
1195,0.4,0.55,146,0.0136986301369863,-0.08447662671807071,2510,0.47500000000000003
1197,0.4,0.55,28,0.0136986301369863,-0.08248657631006073,2515,0.47500000000000003
1199,0.4,0.55,352,0.0136986301369863,-0.08050047833843124,2520,0.47500000000000003
1201,0.45,0.6,970,0.0136986301369863,-0.07851831713444006,2525,0.525
1203,0.45,0.6,347,0.0136986301369863,-0.07654007712233438,2530,0.525
1205,0.45,0.6,628,0.0136986301369863,-0.07456574281861678,2535,0.525
1207,0.45,0.65,439,0.0136986301369863,-0.07259529883131796,2540,0.55
1209,0.5,0.65,592,0.0136986301369863,-0.07062872985927714,2545,0.575
1211,0.5,0.65,412,0.0136986301369863,-0.06866602069142846,2550,0.575
1213,0.55,0.7,389,0.0136986301369863,-0.0667071562060955,2555,0.625
1215,0.55,0.7,412,0.0136986301369863,-0.06475212137029207,2560,0.625
1217,0.55,0.75,93,0.0136986301369863,-0.06280090123903036,2565,0.65
1219,0.6,0.75,171,0.0136986301369863,-0.06085348095463481,2570,0.675
1221,0.6,0.8,1367,0.0136986301369863,-0.0589098457460638,2575,0.7
1223,0.65,0.8,355,0.0136986301369863,-0.05696998092823712,2580,0.7250000000000001
1225,0.65,0.85,136,0.0136986301369863,-0.05503387190137076,2585,0.75
1227,0.7,0.9,446,0.0136986301369863,-0.05310150415031686,2590,0.8
1229,0.75,0.9,288,0.0136986301369863,-0.05117286324391131,2595,0.825
1231,0.75,0.9,873,0.0136986301369863,-0.04924793483432682,2600,0.825
1233,0.8,1.0,212,0.0136986301369863,-0.047326704656432975,2605,0.9
1235,0.85,1.0,1125,0.0136986301369863,-0.0454091585271612,2610,0.925
1237,0.9,1.05,160,0.0136986301369863,-0.04349528234487705,2615,0.9750000000000001
1239,1.0,1.1,460,0.0136986301369863,-0.0415850620887577,2620,1.05
1241,1.05,1.2,1209,0.0136986301369863,-0.039678483818176145,2625,1.125
